id,nombre,codigo
160,Col&Col Ediciones,DLV00090316
161,Colex,DLV00080865
162,Colex Data,DLV00036245
163,Columna CAT,DLV00004921
164,Combel Editorial,DLV00003062
165,Comunicación Social Ediciones y Publicaciones,DLV00001341
166,Conecta,DLV00013681
167,Consejo Superior de Deportes,DLV00015223
168,Consejo Superior de Investigaciones Cientificas,DLV00004121
169,Consello da Cultura Galega,DLV00008801
170,Consonni,DLV00022680
171,Contenido en Movimiento,DLV00015981
172,Contra,DLV00013141
173,Corporación Vértice 1979  S.L.,DLV00026317
174,Corre La Voz SL,DLV00015561
175,Cossetània Edicions,DLV00002761
176,Creaciones Copyright,DLV00024511
177,Cuadernos de Pedagogía (Wolters Kluwer España),DLV00008401
178,Cuadernos del Vigía,DLV00005682
179,Cuadernos del Vigía,DLV00005682
180,Cuento de Luz SL,DLV00010901
181,Cyan Proyectos Editoriales,DLV00026361
182,Cáritas Española Editores,DLV00000548
183,Círculo Imaginarium,DLV00014323
184,Córner,DLV00010021
185,DK,DLV00060890
186,De Conatus,DLV00086977
187,Debolsillo,DLV00003561
188,Demipage,DLV00009801
189,Desclée De Brouwer,DLV00000343
190,Desclée De Brouwer,DLV00000343
191,Desperta Ferro Ediciones,DLV00048623
192,Destino CAT,DLV00004922
193,Destino Infantil & Juvenil CAT,DLV00004923
194,Dibbuks,DLV00011501
195,Diccionaris de l`Enciclopèdia,DLV00015881
196,Didacta +,DLV00096795
197,Diego Marín Librero Editor SL,DLV00013801
198,Diego Pun Ediciones,DLV00016101
199,Difusión Centro de Investigación y Publicaciones de Idiomas S.L.,DLV00003901
200,Digital Text,DLV00038485
201,Digitalbooks,DLV00037789
202,Diputació de Barcelona,DLV00042765
203,Diputación de Sevilla. Servicio de Archivo y Publicaciones.,DLV00006281
204,Diálogo,DLV00043788
205,Dobleerree Editorial,DLV00003382
206,Doce Calles,DLV00056269
207,Documenta Balear S.L.,DLV00008561
208,Documenta Universitaria,DLV00005524
209,Dojo Ediciones,DLV00006843
210,Dos de Arte Ediciones  S.L.,DLV00035699
211,Duomo Ediciones,DLV00011542
212,Dylar Ediciones  S.L,DLV00002023
213,ECC Ediciones,DLV00014681
214,EDIBESA,DLV00000843
215,ESIC Editorial,DLV00000846
216,EUNSA. Ediciones Universidad de Navarra  S.A.,DLV00010741
217,Ecobook - Editorial del Economista,DLV00004661
218,Ecoiuris,DLV00080427
219,Ed. Dharma  S.L.,DLV00015461
220,Ed. Triacastela,DLV00084285
221,Edelsa Grupo Didascalia,DLV00031839
222,Edeta Editorial,DLV00084835
223,Ediciones 2010,DLV00008961
224,Ediciones Académicas S.A.,DLV00011421
225,Ediciones Alfar S.A.,DLV00002941
226,Ediciones Aljibe  S.L.,DLV00008001
227,Ediciones Almed,DLV00011581
228,Ediciones Alpha Decay  S.A.,DLV00009561
229,Ediciones Amatista,DLV00025342
230,Ediciones Antígona  S.L.,DLV00010841
231,Ediciones Atalanta  S.L.,DLV00003581
232,Ediciones Atalanta  S.L.,DLV00003581
233,Ediciones Babylon,DLV00037052
234,Ediciones Beascoa,DLV00003523
235,Ediciones Beta III Milenio  S.L.,DLV00000782
236,Ediciones Bilingües,DLV00015961
237,Ediciones Complutense,DLV00005041
238,Ediciones Corín Tellado,DLV00076771
239,Ediciones Cristiandad S.A.,DLV00002082
240,Ediciones Cumbres,DLV00024043
241,Ediciones Cydonia,DLV00037153
242,Ediciones Cálamo,DLV00011021
243,Ediciones Cátedra,DLV00000368
244,Ediciones Dehonianas España,DLV00068403
245,Ediciones Destino,DLV00004563
246,Ediciones Destino Infantil & Juvenil,DLV00004547
247,Ediciones Deusto,DLV00004561
248,Ediciones Diquesi,DLV00019343
249,Ediciones Díaz de Santos  S.A.,DLV00000562
250,Ediciones Ekaré,DLV00010381
251,Ediciones El Grano de Mostaza S.L.,DLV00014101
252,Ediciones El Senderista,DLV00013261
253,Ediciones El Viso  S.A.,DLV00015541
254,Ediciones Elfos  S.L.,DLV00011783
255,Ediciones Encuentro  S.A.,DLV00000905
256,Ediciones Espuela de Plata,DLV00002502
257,Ediciones Experiencia  S.L.,DLV00003042
258,Ediciones Fortuna,DLV00010061
259,Ediciones Fortuna,DLV00010061
260,Ediciones Francis Lefebvre,DLV00005361
261,Ediciones Franciscanas Arantzazu,DLV00057648
262,Ediciones Franciscanas Arantzazu,DLV00057648
263,Ediciones GPS Madrid S.L.,DLV00005081
264,Ediciones Gaviota,DLV00000604
265,Ediciones Gigamesh,DLV00006802
266,Ediciones Grazalema  S.L.,DLV00000444
267,Ediciones Hidroavión,DLV00052304
268,Ediciones Idampa SL,DLV00014881
269,Ediciones Internacionales Universitarias (EIUNSA),DLV00033312
270,Ediciones Invisibles,DLV00011543
271,Ediciones JC,DLV00005261
272,Ediciones Jaguar,DLV00001241
273,Ediciones Kraken,DLV00006042
274,Ediciones La Cúpula  S.L.,DLV00012841
275,Ediciones La Libreria,DLV00010981
276,Ediciones La Llave,DLV00033487
277,Ediciones La Uña Rota,DLV00013321
278,Ediciones Leonesas  S.A. (EDILESA),DLV00013861
279,Ediciones Mahayana,DLV00037810
280,Ediciones Martínez Roca,DLV00011003
281,Ediciones Miguel Sánchez  S.L.,DLV00001762
282,Ediciones Minotauro,DLV00004564
283,Ediciones Morata  S.L.,DLV00000556
284,Ediciones Mundi-Prensa,DLV00003181
285,Ediciones Mágina S.L.,DLV00005641
286,Ediciones Nobel  SA,DLV00012222
287,Ediciones Nowtilus,DLV00000403
288,Ediciones Obelisco S.L.,DLV00013421
289,Ediciones Obradoiro  S.A.,DLV00000445
290,Ediciones Oniro S.A.,DLV00004591
291,Ediciones Paidós Ibérica,DLV00004565
292,Ediciones Palabra  S.A.,DLV00000547
293,Ediciones Paraninfo  S.A,DLV00007201
294,Ediciones Península,DLV00004903
295,Ediciones Pirámide,DLV00000371
296,Ediciones Pléyades  S.A.,DLV00011441
297,Ediciones Polifemo,DLV00000558
298,Ediciones Rialp  S.A.,DLV00002123
299,Ediciones Rodio S. Coop. And.,DLV00025743
300,Ediciones Saldaña  S.A.,DLV00022560
301,Ediciones Saldaña  S.A. (Libro Divo),DLV00022559
302,Ediciones Sígueme  S.A.,DLV00003301
303,Ediciones Tagus,DLV00014461
304,Ediciones Temas de Hoy,DLV00004566
305,Ediciones Torremozas,DLV00011301
306,Ediciones Traspiés,DLV00010081
307,Ediciones Trea  S.L.,DLV00001422
308,Ediciones Tutor  S.A.,DLV00001444
309,Ediciones Ulises,DLV00022669
310,Ediciones Universidad San Jorge,DLV00014401
311,Ediciones Universidad de Salamanca,DLV00005221
312,Ediciones Universidad de Valladolid,DLV00005001
313,Ediciones Versátil  S.L.,DLV00010861
314,Ediciones Xorki (Moldava SL),DLV00016441
315,Ediciones de Aquí  S.L.,DLV00002163
316,Ediciones de Belloch S.L.,DLV00010201
317,Ediciones de Intervención Cultural,DLV00014301
318,Ediciones de la Torre,DLV00000564
319,Ediciones de la Universidad de Castilla-La Mancha,DLV00003862
320,Ediciones del Oriente y del Mediterráneo,DLV00048564
321,Ediciones del Serbal  S.A.,DLV00002281
322,Ediciones del Viento  S.L.,DLV00004141
323,Ediciones el Rompecabezas,DLV00003161
324,Ediciones y Publicaciones El Nadir Tres SL,DLV00005161
325,Edicions 62,DLV00004181
326,Edicions 96 S.L.,DLV00006421
327,Edicions Baula,DLV00000901
328,Edicions Bromera  S.L.,DLV00002042
329,Edicions Cal·lígraf,DLV00023084
330,Edicions Llibreria Universitària de Barcelona  SL,DLV00010941
331,Edicions Saldonar,DLV00017121
332,Edicions Sidillà SL,DLV00014421
333,Edicions Tres i Quatre S.L.,DLV00015762
334,Edicions UAB,DLV00036383
335,Edicions UIB,DLV00004862
336,Edicions Voramar  S.A.,DLV00000441
337,Edicions de 1984,DLV00010781
338,Edicions de la Ela Geminada,DLV00016941
339,Edicions de la Universitat de Lleida,DLV00007381
340,Edicions del Bullent  S.L.,DLV00002026
341,Edicions del Periscopi SL,DLV00016481
342,Edicions del Pirata,DLV00017404
343,Edicions i Propostes Culturals Andana  SL,DLV00006822
344,Edicións Embora,DLV00015261
345,Edicións Laiovento,DLV00009641
346,Edicións Xerais de Galicia  S.A.,DLV00000373
347,Edimat Libros S.A.,DLV00006821
348,Editatum,DLV00075905
349,Editora y Distribuidora Hispano Americana  S.A. (EDHASA),DLV00001081
350,Editorial Acanto S.A.,DLV00007941
351,Editorial Afers  S.L.,DLV00015481
352,Editorial Alma,DLV00014601
353,Editorial Almuzara,DLV00008361
354,Editorial Alpha,DLV00005181
355,Editorial Alpina  SL,DLV00015141
356,Editorial Alpuerto S.A.,DLV00015061
357,Editorial Alrevés S.L,DLV00008241
358,Editorial Altamar,DLV00045445
359,Editorial Anagrama S.A.,DLV00006781
360,Editorial Aranzadi,DLV00000481
361,Editorial Arguval,DLV00001743
362,Editorial Ariel,DLV00004567
363,Editorial Bambú,DLV00003063
364,Editorial Barcanova,DLV00000367
365,Editorial Base (CAT),DLV00002702
366,Editorial Base (ES),DLV00012341
367,Editorial Bercimuel S.L.,DLV00009781
368,Editorial Berenice,DLV00011962
369,Editorial Bruño,DLV00000542
370,Editorial Brúixola,DLV00007282
371,Editorial Bóveda,DLV00013061
372,Editorial CCS,DLV00003762
373,Editorial Caballo de Troya,DLV00003541
374,Editorial Cabaret Voltaire,DLV00009701
375,Editorial Casals,DLV00000793
376,Editorial Ciudad Nueva,DLV00014861
377,Editorial Civitas,DLV00035024
378,Editorial Claret  S.L.U.,DLV00000847
379,Editorial Comanegra S.L.,DLV00007243
380,Editorial Contraseña  S.C.,DLV00010801
381,Editorial Corimbo S.L.,DLV00015021
382,Editorial Cruïlla  S.A,DLV00002641
383,Editorial Crítica,DLV00004546
384,Editorial Círculo de Bellas Artes,DLV00002781
385,Editorial Debate,DLV00003544
386,Editorial Delirio,DLV00014261
387,Editorial Diente de León,DLV00074304
388,Editorial Difácil,DLV00011482
389,Editorial Diéresis  S.L.,DLV00011741
390,Editorial Donostiarra  S.A.,DLV00000942
391,Editorial Ecir S.A.,DLV00001901
392,Editorial Edaf  S.L.,DLV00007261
393,Editorial Edebé,DLV00000800
394,Editorial Editex,DLV00001281
395,Editorial Educación Humana E. Tordesillas,DLV00012423
396,Editorial El Drac  S.L.,DLV00001445
397,Editorial Elba  S.L.,DLV00012541
398,Editorial Elearning,DLV00022768
399,Editorial Eleftheria SL,DLV00012881
400,Editorial Emecé / Ediciones del Bronce,DLV00004582
401,Editorial Empúries,DLV00004881
402,Editorial Everest,DLV00000544
403,Editorial Faro,DLV00070743
404,Editorial Fonoll  SL,DLV00009581
405,Editorial Funambulista S.L.,DLV00001881
406,Editorial Fundamentos,DLV00000550
407,Editorial Galaxia  S.A.,DLV00000726
408,Editorial GeoPlaneta,DLV00004584
409,Editorial Graó,DLV00000802
410,Editorial Gregal,DLV00016781
411,Editorial Groh S.L.,DLV00016701
412,Editorial Gustavo Gili  S.L.,DLV00000792
413,Editorial Hidra,DLV00011821
414,Editorial Hispano Europea S.A.,DLV00000788
415,Editorial Huso,DLV00074485
416,Editorial INDE,DLV00001621
417,Editorial Ibaizabal,DLV00000787
418,Editorial Jurídica Sepín  S.L.,DLV00003001
419,Editorial Juventud  S.A.,DLV00000803
420,Editorial Kairós SA,DLV00003661
421,Editorial Kókinos,DLV00001463
422,Editorial LIBSA  S.A.,DLV00008263
423,Editorial LXL,DLV00047743
424,Editorial La Calle,DLV00016864
425,Editorial La Huerta Grande  S.L.,DLV00040663
426,Editorial La Muralla  S.A.,DLV00000708
427,Editorial Loto Azul,DLV00085436
428,Editorial Luis Vives (Edelvives),DLV00000543
429,Editorial Luis Vives (Edelvives),DLV00000543
430,Editorial Lumen,DLV00003564
431,Editorial Magisterio,DLV00011181
432,Editorial Maluma  S.L.,DLV00070004
433,Editorial Mankell,DLV00095416
434,Editorial Marfil,DLV00002046
435,Editorial Maxtor,DLV00008341
436,Editorial Mediterrània  SL,DLV00007202
437,Editorial Meteora SL,DLV00012023
438,Editorial Miguel A. Salvatella  S.A.,DLV00009101
439,Editorial Milrazones,DLV00044426
440,Editorial Minuscula  S.L.U.,DLV00007061
441,Editorial Médica Panamericana S.A.,DLV00001103
442,Editorial Octaedro  S.L.,DLV00001361
443,Editorial Océano,DLV00012301
444,Editorial Odeón,DLV00070183
